#,function,file,spec_kind,bug_type,fix_evidence,spec_entity,evidence
22,ath10k_htt_rx_proc_rx_ind_hl,drivers/net/wireless/ath/ath10k/htt_rx.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,"Line 1: `offset = ieee80211_hdrlen(hdr->frame_control);` (inside `if (ieee80211_has_protected(hdr->frame_control))` block, around line 130 in the orig"
23,ath10k_htt_rx_validate_amsdu,drivers/net/wireless/ath/ath10k/htt_rx.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,"Line: hdr_len = ieee80211_hdrlen(hdr->frame_control); followed by line: subframe_hdr = (u8 *)hdr + round_up(hdr_len, bytes_aligned) + crypto_len; and "
24,ath11k_dp_rx_h_undecap_eth,drivers/net/wireless/ath/ath11k/dp_rx.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,Line 14: `hdr_len = ieee80211_hdrlen(hdr->frame_control);` where `hdr` points to the untrusted `first_hdr`. Line 19: `(void *)hdr + hdr_len` is used a
25,ath11k_dp_rx_h_undecap_nwifi,drivers/net/wireless/ath/ath11k/dp_rx.c,generated,generated,YES,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,"Line 1: hdr = (struct ieee80211_hdr *)msdu->data; hdr_len = ieee80211_hdrlen(hdr->frame_control); skb_pull(msdu, ieee80211_hdrlen(hdr->frame_control))"
26,ath11k_dp_rx_h_undecap_raw,drivers/net/wireless/ath/ath11k/dp_rx.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,"Line `hdr_len = ieee80211_hdrlen(hdr->frame_control);` followed by `memmove((void *)msdu->data + crypto_len, (void *)msdu->data, hdr_len);` and `skb_p"
27,ath11k_dp_rx_h_verify_tkip_mic,drivers/net/wireless/ath/ath11k/dp_rx.c,generated,generated,,Call to ieee80211_hdrlen with a frame control field from an untrusted or insuffi,Lines after 'hdr_len = ieee80211_hdrlen(hdr->frame_control);' compute 'head_len = hdr_len + hal_rx_desc_sz + IEEE80211_TKIP_IV_LEN;' then 'data = msdu
28,attribute_container_add_device,drivers/base/attribute_container.c,seed,resource_leak,,A call to device_initialize,"Lines after device_initialize(&ic->classdev): ic->classdev.parent = get_device(dev) (line ~?), ic->classdev.class = cont->class, cont->class->dev_rele"
29,audioformat_implicit_fb_quirk,sound/usb/implicit.c,generated,generated,,Accessing an endpoint descriptor from a usb_interface's current alternate settin,"Line 45 (approx): `get_endpoint(alts, 1)->bEndpointAddress` is called without any prior check on `alts->desc.bNumEndpoints`. The code does not ensure "
30,bcm2835_register_pll_divider,drivers/clk/bcm/clk-bcm2835.c,generated,generated,,call to function devm_kasprintf,"Line 12: `return NULL;` after the `devm_kasprintf` call on line 10-11 fails. The function returns a pointer, and other error paths (e.g., line 27) ret"
31,blkdev_fallocate,block/fops.c,seed,integer_overflow,YES,A call to function truncate_bdev_range where the 'end' argument is computed as ',"The function computes `end = start + len - 1` at line ~3 (exact line may vary) and later uses `end` in `truncate_bdev_range(bdev, file_to_blk_mode(fil"
32,bpa10x_rx_complete,drivers/bluetooth/bpa10x.c,seed,double_free_uaf,,A call to usb_anchor_urb,"Line: `usb_anchor_urb(urb, &data->rx_anchor);` (around line 20) is called without a prior `usb_unanchor_urb`. The urb was anchored when first submitte"
33,bpa_rs600_probe,drivers/hwmon/pmbus/bpa-rs600.c,seed,oob_access,,A call to i2c_smbus_read_block_data,"Line: ret = i2c_smbus_read_block_data(client, PMBUS_MFR_MODEL, buf); (line ~8)
Line: buf[ret] = '\0'; (line ~18)
The code only checks ret < 0, not ret"
34,btmtk_intr_complete,drivers/bluetooth/btmtk.c,seed,double_free_uaf,,A call to usb_anchor_urb,The function btmtk_intr_complete calls usb_anchor_urb (line with usb_anchor_urb) without first unanchoring the URB. The URB was already anchored from 
35,btmtk_usb_wmt_recv,drivers/bluetooth/btmtk.c,seed,double_free_uaf,,A call to usb_anchor_urb,"Line ~88: `usb_anchor_urb(urb, data->ctrl_anchor);` is called without a prior `usb_unanchor_urb(urb)`. The URB is already anchored from the previous s"
36,btusb_bulk_complete,drivers/bluetooth/btusb.c,seed,double_free_uaf,,A call to usb_anchor_urb,"In the function btusb_bulk_complete, usb_anchor_urb(urb, &data->bulk_anchor) is called at approximately line 27 (after the if-else block and before us"
37,btusb_diag_complete,drivers/bluetooth/btusb.c,seed,double_free_uaf,,A call to usb_anchor_urb,"Line `usb_anchor_urb(urb, &data->diag_anchor);` (approximately line 18 in the snippet) is called without first unanchoring the URB. The URB remains an"
38,btusb_intr_complete,drivers/bluetooth/btusb.c,seed,double_free_uaf,,A call to usb_anchor_urb,"Line 23: `usb_anchor_urb(urb, &data->intr_anchor);` is called without first unanchoring the urb. The urb was already anchored when initially submitted"
39,btusb_isoc_complete,drivers/bluetooth/btusb.c,seed,double_free_uaf,,A call to usb_anchor_urb,"Line: `usb_anchor_urb(urb, &data->isoc_anchor);` - The URB is already anchored from the prior submission; calling `usb_anchor_urb` again adds it to th"
40,cdv_intel_dp_get_modes,drivers/gpu/drm/gma500/cdv_intel_dp.c,generated,generated,,A call to drm_mode_duplicate,"Lines 32-36: `mode = drm_mode_duplicate(dev, intel_dp->panel_fixed_mode);` followed by `drm_mode_probed_add(connector, mode);` without a NULL check on"
41,cdx_msi_domain_init,drivers/cdx/cdx_msi.c,seed,resource_leak,YES,A call to function of_parse_phandle,"Lines 6-7: `parent_node = of_parse_phandle(np, ""msi-map"", 1);` obtains a reference. Lines 10-12: `if (!parent || !msi_get_domain_info(parent)) { ... r"
42,check_wsl_eas,fs/smb/client/smb2inode.c,seed,oob_access,YES,A bounds check in the loop of `check_wsl_eas` that computes an address using the,"Line: `if (nlen != SMB2_WSL_XATTR_NAME_LEN || (u8 *)ea + nlen + 1 + vlen > end)`. The calculation uses `(u8 *)ea` as the base, missing the fixed heade"
43,cxl_acpi_qos_class,drivers/cxl/acpi.c,seed,null_pointer_deref,,A call to `dev_is_platform` with a device pointer,Line 4: `struct device *dev = cxl_root->port.uport_dev;` assigns the pointer without a NULL check. Line 6: `if (!dev_is_platform(dev))` calls `dev_is_
44,cxl_fw_prepare,drivers/cxl/core/memdev.c,generated,generated,,A call to cxl_mem_get_fw_info(mds) where mds is a struct cxl_memdev_state *,"Lines 7-8: 'if (cxl_mem_get_fw_info(mds)) return FW_UPLOAD_ERR_HW_ERROR;' — the return value of cxl_mem_get_fw_info is used to cause an early return, "
45,cxl_port_setup_regs,drivers/cxl/core/port.c,seed,null_pointer_deref,,A call to `dev_is_platform` with a device pointer,Line 3: `if (dev_is_platform(port->uport_dev))` - no NULL check on `port->uport_dev` before the call to `dev_is_platform`.
46,dce_v11_0_sw_fini,drivers/gpu/drm/amd/amdgpu/dce_v11_0.c,generated,generated,,A call to drm_kms_helper_poll_fini(dev) in a driver's cleanup/unload or error pa,Line 2: drm_edid_free(adev->mode_info.bios_hardcoded_edid) is called before line 3: drm_kms_helper_poll_fini(adev_to_drm(adev)). The freed EDID is a s
47,dce_v6_0_sw_fini,drivers/gpu/drm/amd/amdgpu/dce_v6_0.c,generated,generated,,A call to drm_kms_helper_poll_fini(dev) in a driver's cleanup/unload or error pa,Line 2: `drm_edid_free(adev->mode_info.bios_hardcoded_edid);` is called before line 4: `drm_kms_helper_poll_fini(adev_to_drm(adev));`.
48,device_register,drivers/base/core.c,seed,resource_leak,,A call to device_initialize,"Line 2: device_initialize(dev); Line 3: return device_add(dev); If device_add fails, the function returns without calling put_device(dev)."
49,dpu_kms_mmap_mdp5,drivers/gpu/drm/msm/disp/dpu1/dpu_kms.c,seed,null_pointer_deref,,A call to `dev_is_platform` with a device pointer,Line 6: `if (!dev_is_platform(dpu_kms->pdev->dev.parent))` - no NULL check on `dpu_kms->pdev->dev.parent` before use.
50,drm_gem_handle_create_tail,drivers/gpu/drm/drm_gem.c,seed,memory_leak,YES,A call to drm_vma_node_allow,"Line: `ret = drm_vma_node_allow(&obj->vma_node, file_priv);` (approximately line 30 in the function). The function uses `drm_vma_node_allow` instead o"
51,drm_gem_object_init,drivers/gpu/drm/drm_gem.c,generated,generated,YES,A call to drm_gem_object_init_with_mnt,"Line 3 (return drm_gem_object_init_with_mnt(dev, obj, size, NULL);) calls drm_gem_object_init_with_mnt. If this call fails, the function returns the e"
52,endpoint_set_syncinterval,sound/usb/endpoint.c,seed,null_pointer_deref,,"A call to get_endpoint(intf->altsetting, 0) where intf is a usb_interface pointe","Line 6: `desc = get_endpoint(alts, ep->ep_idx);` is called without first checking `alts->desc.bNumEndpoints` to ensure that `ep->ep_idx` is within bou"
53,ethnl_tsinfo_dump_one_net_topo,net/ethtool/tsinfo.c,generated,generated,,A call to `phy_has_tsinfo` with a `phy_device` pointer,Line 17: `if (phy_has_tsinfo(dev->phydev)) {` – the pointer `dev->phydev` is passed to `phy_has_tsinfo` without a prior NULL check.
54,ethtool_phy_get_ts_info_by_phc,net/ethtool/common.c,generated,generated,,A call to `phy_has_tsinfo` with a `phy_device` pointer,Line: `if (phy_has_tsinfo(dev->phydev))` - `dev->phydev` is not checked for NULL before being passed to `phy_has_tsinfo`.
55,etnaviv_gem_new_handle,drivers/gpu/drm/etnaviv/etnaviv_gem.c,seed,integer_overflow,,A call to drm_gem_object_init,"In etnaviv_gem_new_handle, lines 12-13 (after drm_gem_object_init fails) jump to 'fail' label, which calls drm_gem_object_put(obj) at line 24. This in"
56,f2fs_sbi_show,fs/f2fs/sysfs.c,seed,oob_access,YES,Reading sbi->raw_super->extension_count and sbi->raw_super->hot_ext_count in f2f,Lines 7-9: int cold_count = le32_to_cpu(sbi->raw_super->extension_count); int hot_count = sbi->raw_super->hot_ext_count; No f2fs_down_read(&sbi->sb_lo
57,fcp_find_fc_interface,sound/usb/fcp.c,seed,null_pointer_deref,,"A call to get_endpoint(intf->altsetting, 0) where intf is a usb_interface pointe","Line 14: `epd = get_endpoint(intf->altsetting, 0);` No prior check of `desc->bNumEndpoints` before calling `get_endpoint`. The loop only checks `bInte"
58,fme_pr,drivers/fpga/dfl-fme-pr.c,generated,generated,,A call to fpga_image_info_alloc,Lines after `info = fpga_image_info_alloc(&pdev->dev);` (line in code). Error paths: 1) `if (!fme) { ret = -EINVAL; goto unlock_exit; }` — info is not
59,fsl_dcu_unload,drivers/gpu/drm/fsl-dcu/fsl_dcu_drm_drv.c,generated,generated,,A call to drm_kms_helper_poll_fini(dev) in a driver's cleanup/unload or error pa,Line 2: drm_atomic_helper_shutdown(dev); acquires modeset locks (mutexes). Line 3: drm_kms_helper_poll_fini(dev); is called after the locks are acquir
60,fsmc_read_page_hwecc,drivers/mtd/nand/raw/fsmc_nand.c,generated,generated,,A call to nand_read_oob_op where the buffer pointed to by buf is not initialized,"Line 12: `u8 *oob = (u8 *)&ecc_oob[0];` - `ecc_oob` is an uninitialized local array. Line 46: `nand_read_oob_op(chip, page, off, oob + j, len);` - the"
61,gem_create_obj,drivers/gpu/drm/xen/xen_drm_front_gem.c,seed,integer_overflow,,A call to drm_gem_object_init,"Lines 11-13: after `drm_gem_object_init` fails, the code calls `kfree(xen_obj)` without first calling `drm_gem_object_release(&xen_obj->base)`. The `d"
62,i2c_acpi_space_handler,drivers/i2c/i2c-core-acpi.c,generated,generated,,"call to i2c_smbus_write_block_data(client, command, length, values)","Line ~80-83 in the switch case ACPI_GSB_ACCESS_ATTRIB_BLOCK: `status = i2c_smbus_write_block_data(client, command, gsb->len, gsb->data);` -- no valida"
63,ib_nl_process_good_resolve_rsp,drivers/infiniband/core/sa_query.c,generated,generated,,A local struct variable that is passed to ib_unpack without being zero-initializ,"Line: `struct sa_path_rec recs[RDMA_PRIMARY_PATH_MAX_REC_NUM];` (no zero-initialization). Line inside loop: `ib_unpack(path_rec_table, ARRAY_SIZE(path"
64,ib_sa_classport_info_rec_callback,drivers/infiniband/core/sa_query.c,generated,generated,,A local struct variable that is passed to ib_unpack without being zero-initializ,"Lines: `struct opa_class_port_info rec;` (no `= {}` or `memset`), followed by `ib_unpack(opa_classport_info_rec_table, ARRAY_SIZE(...), mad->data, &re"
65,ib_sa_guidinfo_rec_callback,drivers/infiniband/core/sa_query.c,generated,generated,,A local struct variable that is passed to ib_unpack without being zero-initializ,"Line 6: `struct ib_sa_guidinfo_rec rec;` is declared without zero-initialization. Line 8: `ib_unpack(guidinfo_rec_table, ARRAY_SIZE(guidinfo_rec_table"
66,ib_sa_mcmember_rec_callback,drivers/infiniband/core/sa_query.c,generated,generated,,A local struct variable that is passed to ib_unpack without being zero-initializ,Line where `struct ib_sa_mcmember_rec rec;` is declared without initialization (line 3 of the function body). Then `ib_unpack` is called with `&rec` (
67,id_mode_to_cifs_acl,fs/smb/client/cifsacl.c,seed,improper_input_validation,YES,"A call to parse_dacl, build_sec_desc, or id_mode_to_cifs_acl that uses a DACL (s",Lines ~78-84: dacl_ptr = (struct smb_acl *)((char *)pntsd + dacloffset); then le16_to_cpu(dacl_ptr->num_aces) or le16_to_cpu(dacl_ptr->size) are acces
68,iptfs_clone_state,net/xfrm/xfrm_iptfs.c,seed,double_free_uaf,,Setting of x->mode_data and xtfs->x in iptfs_clone_state,"Lines 7-8: `x->mode_data = xtfs;` and `xtfs->x = x;` are executed before the kcalloc for `w_saved` (line 11). If the kcalloc fails (line 12-15), `xtfs"
69,irdma_create_user_ah,drivers/infiniband/hw/irdma/verbs.c,seed,memory_leak,YES,A local variable of type struct irdma_create_ah_resp declared in function irdma_,"Line: `struct irdma_create_ah_resp uresp;` (no initializer). Only `uresp.ah_id = ...` is set. Then `ib_copy_to_udata(udata, &uresp, ...)` copies the e"
70,isa_bus_init,drivers/base/isa.c,seed,resource_leak,,A call to device_register(),"Line 5-6: device_register(&isa_bus) is called; on failure, only bus_unregister(&isa_bus_type) is called, but put_device(&isa_bus) is missing. Accordin"
71,iso_sock_kill,net/bluetooth/iso.c,seed,double_free_uaf,,iso_sock_kill,"Lines 1-10: The function does not check or clear iso_pi(sk)->conn->sk. It calls sock_put(sk) which may free the socket, violating the specification th"
72,kcs_bmc_ipmi_add_device,drivers/char/ipmi/kcs_bmc_cdev_ipmi.c,generated,generated,,call to function devm_kasprintf,Line 17: `priv->miscdev.name = devm_kasprintf(...)` and line 18: `if (!priv->data_in || !priv->data_out || !priv->kbuffer || !priv->miscdev.name) retu
73,ksz_mdio_register,drivers/net/dsa/microchip/ksz_common.c,generated,generated,YES,A call to function of_mdio_find_bus,The function calls `of_mdio_find_bus` at line (approximately line 22 in the provided code): `parent_bus = of_mdio_find_bus(parent_bus_node);`. The ret
74,ma35_nand_read_oob_hwecc,drivers/mtd/nand/raw/nuvoton-ma35d1-nand-controller.c,generated,generated,,A call to nand_read_oob_op where the buffer pointed to by buf is not initialized,"Line 6: `nand_read_oob_op(chip, page, 0, chip->oob_poi, mtd->oobsize);` - the buffer `chip->oob_poi` is passed without any prior initialization (e.g.,"
75,ma35_nand_read_page_hwecc,drivers/mtd/nand/raw/nuvoton-ma35d1-nand-controller.c,generated,generated,,A call to nand_read_oob_op where the buffer pointed to by buf is not initialized,"Line after `ma35_nand_target_enable(chip, chip->cur_cs);` calls `nand_read_oob_op(chip, page, 0, chip->oob_poi, mtd->oobsize);` without any prior init"
76,mdio_mux_init,drivers/net/mdio/mdio-mux.c,generated,generated,,Call to `of_mdio_find_bus`,"Line 20 (call to `of_mdio_find_bus`) obtains a reference. The success path (line 93, `return 0;`) does not call `put_device(&parent_bus->dev)`. Only t"
77,mode_replace,drivers/gpu/drm/drm_client_modeset.c,generated,generated,,A call to drm_mode_duplicate,"Line `*dst = src ? drm_mode_duplicate(dev, src) : NULL;` within function mode_replace (line 4 of the function body). The return value of drm_mode_dupl"
78,mrfld_gpio_get_pinctrl_dev_name,drivers/gpio/gpio-merrifield.c,generated,generated,,"call to devm_kstrdup(dev, ...) where the return value is not checked for NULL","Line 9: `name = devm_kstrdup(dev, acpi_dev_name(adev), GFP_KERNEL);` - no NULL check is performed on the return value. If the allocation fails, `name`"
79,msm_gem_new,drivers/gpu/drm/msm/msm_gem.c,seed,integer_overflow,YES,A call to drm_gem_object_init,"Line: `ret = drm_gem_object_init(dev, obj, size);` followed by `if (ret) goto fail;` and at the `fail` label: `drm_gem_object_put(obj);`."
80,mtk_drm_of_get_ddp_ep_cid,drivers/gpu/drm/mediatek/mtk_drm_drv.c,generated,generated,,A call to function of_graph_get_remote_port_parent,Line: `ep_dev_node = of_graph_get_remote_port_parent(ep_out);` obtains a reference. No `of_node_put(ep_dev_node)` is called anywhere in the function. 
81,nfsd_nl_listener_set_doit,fs/nfsd/nfsctl.c,seed,resource_leak,YES,A call to function svc_xprt_create_from_sa with a credential argument,"Line 94: `ret = svc_xprt_create_from_sa(serv, xcl_name, net, sa, 0, get_current_cred());` uses `get_current_cred()`, which increments the reference co"
82,nft_dynset_expr_setup,net/netfilter/nft_dynset.c,seed,resource_leak,,The function nft_dynset_expr_setup,"Lines 7-13: for (i = 0; i < priv->num_exprs; i++) { expr = nft_setelem_expr_at(elem_expr, elem_expr->size); if (nft_expr_clone(expr, priv->expr_array["
83,ni_decompress_file,fs/ntfs3/frecord.c,seed,uninitialized_use,,A call to function attr_data_get_block returning lcn and clen.,"Line: `err = attr_data_get_block(ni, vcn, cend - vcn, &lcn, &clen, &new, false);` followed by `if (err) goto out;` but no check for `clen == 0`. The n"
84,node_init_node_access,drivers/base/node.c,seed,resource_leak,,A call to device_register(),"The function calls device_register(dev) on approximately line 20 (if (device_register(dev))). On failure, it jumps to the free_name label, which execu"
85,ntfs_compress_write,fs/ntfs3/file.c,seed,uninitialized_use,YES,A call to function attr_data_get_block returning lcn and clen.,"Line: `err = attr_data_get_block(ni, frame << NTFS_LZNT_CUNIT, 1, &lcn, &clen, NULL, false);` followed immediately by `if (lcn == SPARSE_LCN) {` witho"
86,ntfs_fallocate,fs/ntfs3/file.c,seed,uninitialized_use,YES,A call to function attr_data_get_block returning lcn and clen.,Lines 156-174 (approx) in the provided code: two loops call attr_data_get_block and use the returned clen in the loop increment (vcn += clen) without 
87,ntfs_get_block_vbo,fs/ntfs3/inode.c,seed,uninitialized_use,YES,A call to function attr_data_get_block returning lcn and clen.,"Line 46: `if (!len) return 0;` after the call to `attr_data_get_block` at line 43. The code returns success (0) when `len` is zero, violating the spec"
88,of_dp_aux_populate_bus,drivers/gpu/drm/display/drm_dp_aux_bus.c,generated,generated,,Call to `of_get_child_by_name`,"Line 10: `np = of_get_next_available_child(bus, NULL);` obtains a reference to `np`. The success path (line 36: `return 0;`) does not call `of_node_pu"
89,of_fpga_region_parse_ov,drivers/fpga/of-fpga-region.c,generated,generated,,A call to fpga_image_info_alloc,"In the code, after `info = fpga_image_info_alloc(dev);` (approx line 28), the function performs `info->firmware_name = devm_kstrdup(dev, firmware_name"
90,omap2_clk_provider_init,drivers/clk/ti/clk.c,generated,generated,,Call to `of_get_child_by_name`,"Lines 8-19: clocks = of_get_child_by_name(parent, ""clocks""); ... if (!io) return -ENOMEM; missing of_node_put(clocks) before the return."
91,omap_gem_new,drivers/gpu/drm/omapdrm/omap_gem.c,seed,integer_overflow,YES,A call to drm_gem_object_init,"In `omap_gem_new()`, after `drm_gem_object_init()` fails (line ~70-72), control jumps to `err_free` which only calls `kfree(omap_obj)` and returns NUL"
92,parse_sec_desc,fs/smb/server/smbacl.c,seed,improper_input_validation,YES,"A call to parse_dacl, build_sec_desc, or id_mode_to_cifs_acl that uses a DACL (s",Line where dacl_ptr is computed: `dacl_ptr = (struct smb_acl *)((char *)pntsd + dacloffset);` (no validation of DACL fields). Line where parse_dacl is
93,pata_parport_init,drivers/ata/pata_parport/pata_parport.c,seed,resource_leak,,A call to device_register(),Lines after `device_register(&pata_parport_bus)` failure: `goto out_unregister_bus;` where `out_unregister_bus` only calls `bus_unregister(&pata_parpo
94,process_rx,drivers/usb/typec/tcpm/tcpci_maxim_core.c,seed,improper_input_validation,YES,The loop in process_rx() that reads payload objects from the received message bu,Lines after the second read: `rx_buf_ptr = rx_buf + TCPC_RECEIVE_BUFFER_RX_BYTE_BUF_OFFSET; msg.header = cpu_to_le16(*(u16 *)rx_buf_ptr);` followed by
95,rxgk_verify_response,net/rxrpc/rxgk.c,seed,integer_overflow,YES,A length check (`xdr_round_up(token_len) + sizeof(__be32) > len`) in the functio,The check at line `if (xdr_round_up(token_len) + sizeof(__be32) > len)` uses `xdr_round_up(token_len)` which can overflow when `token_len` is close to
96,rzn1_dmamux_route_allocate,drivers/dma/dw/rzn1-dmamux.c,seed,resource_leak,YES,A call to function of_parse_phandle,"Line: dma_spec->np = of_parse_phandle(...); After this call, if it succeeds, the reference is stored. On error paths at lines `if (test_and_set_bit(.."
97,scarlett2_find_fc_interface,sound/usb/mixer_scarlett2.c,seed,null_pointer_deref,,"A call to get_endpoint(intf->altsetting, 0) where intf is a usb_interface pointe","Line after `if (desc->bInterfaceClass != 255) continue;`: `epd = get_endpoint(intf->altsetting, 0);` without any prior check on `desc->bNumEndpoints`."
98,sco_conn_free,net/bluetooth/sco.c,generated,generated,YES,A call to disable_delayed_work_sync on a delayed_work structure that may be re-a,"Lines 7-12: after setting conn->hcon->sco_data = NULL, the function calls hci_conn_drop(conn->hcon) on line 10. Then on line 12, disable_delayed_work_"
99,smb2_get_info_sec,fs/smb/server/smb2pdu.c,seed,improper_input_validation,,"A call to parse_dacl, build_sec_desc, or id_mode_to_cifs_acl that uses a DACL (s","Line 38: `rc = build_sec_desc(idmap, pntsd, ppntsd, ppntsd_size, addition_info, &secdesclen, &fattr);` calls `build_sec_desc` with `ppntsd` which may "
100,smb_block_write,drivers/input/rmi4/rmi_smbus.c,generated,generated,,"call to i2c_smbus_write_block_data(client, command, length, values)","Line 10: `retval = i2c_smbus_write_block_data(client, commandcode, len, buf);` The variable `len` is passed directly without any range check against t"
